cid,text,time,author,channel,votes,replies,photo,heart,time_parsed,video_url
UgyVZ_G2WTsKLXY5ybZ4AaABAg,"1st day of Ramadan 2026 , who is here ?",9 days ago,@kama7840,UCQJynj0wD_WGyklMwP197jQ,465,31,https://yt3.ggpht.com/ytc/AIdro_lyuYScis04deoPlP3-UfpHZ1Hk8iTIUeCItE3gmsc=s88-c-k-c0x00ffffff-no-rj,False,1771489552.553905,https://www.youtube.com/watch?v=INIG636SnU4
UgzmUQb0el9h1RSFkn54AaABAg,I took my shahada today alhamdulliah 🤲,1 year ago,@aimie2353,UCgeb1GwBCY-JU4D5848dfAQ,7.5K,157,https://yt3.ggpht.com/cZDH4NRLXUqn4v2fCTOlBzsLp7t29NACzxobv1e29wMvI3fej0iWVqyb0YlFOuk3BbusnbyC=s88-c-k-c0x00ffffff-no-rj,False,1740731152.558652,https://www.youtube.com/watch?v=INIG636SnU4
Ugzp_QySgXatfQanwU94AaABAg,I love how the Muslim was able to respond to every question straight away.,5 years ago,@qasplayz6252,UCuo6IlnjSqnV2MLhOeeFauA,11K,86,https://yt3.ggpht.com/DNhxPaTwcuuEtZFZrHCPOc6Z3jvIaED3_cnTN0-RIUj2KcXdZmipgF0TCCJhApnHkU1bBaDvPg=s88-c-k-c0x00ffffff-no-rj,False,1614500752.561606,https://www.youtube.com/watch?v=INIG636SnU4
Ugxs4VfptwUVf5mUF6Z4AaABAg,Who's watching it in 2025 ? MashAllah Omar Suleiman did really good.,1 year ago,@Souchi-ito,UC7PmN3ldsoNCOsO5SYau9Cw,3.4K,27,https://yt3.ggpht.com/ytc/AIdro_mAWUqO0Uc0F7FL3E6XKYSTM-Wyw_7gRSKXdlaifNg=s88-c-k-c0x00ffffff-no-rj,False,1740731152.564491,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg,Is it just me or the Muslim guys face was radiating with light in the room,5 years ago,@lulitabatta,UCZ_kS1v20HHfryWCBI9uc8w,6.5K,80,https://yt3.ggpht.com/b0ROyftEHDxszAMZF0BtMtm1gf8xEC8oWgowjihPDLdZnxDXXZOD_6wjwmYdxUx3KWwifOSw6uc=s88-c-k-c0x00ffffff-no-rj,False,1614500752.567255,https://www.youtube.com/watch?v=INIG636SnU4
UgzESWtMKq3Z8ENKVj94AaABAg,Muslim guy had the most clarity of the topics discussed and made the most sense.,7 years ago (edited),@Liimr114,UCpEgyJKNPFNJKRwmOiz7-jw,565,1,https://yt3.ggpht.com/ytc/AIdro_nQfakDUmH0Ia9-jczbPmZLMsihQbKS6zETEasPqqE=s88-c-k-c0x00ffffff-no-rj,False,1551342352.570037,https://www.youtube.com/watch?v=INIG636SnU4
Ugze9G_8coOK_5w4I1N4AaABAg,The middle guy has incredible soft fluent way of speaking that captivating my ears,6 years ago,@flower4junsu,UCkr1x2pj0KWZznp1-nl6B1A,471,2,https://yt3.ggpht.com/ytc/AIdro_mQc-_SnjH_kwgLZR238ZghzsGSQ5rlLKX4-C1fdnH8ubo=s88-c-k-c0x00ffffff-no-rj,False,1582878352.572737,https://www.youtube.com/watch?v=INIG636SnU4
UgzEtJ7FMCWjLsq213x4AaABAg,The Muslim guy seems the most educated and knowledgeable,5 months ago,@kayforhouse,UC1KaTGw-BH_pj-I5_S2FXgw,457,4,https://yt3.ggpht.com/yoNomqQIZEbXnvEpxhryV8lmQZYpcTsgw9wdsjEVvNXk9wNkc1kFgobApUhzH2ie9Gr3eOUlyRs=s88-c-k-c0x00ffffff-no-rj,False,1759047952.576826,https://www.youtube.com/watch?v=INIG636SnU4
UgyNdk4pLQb-xkd8Kll4AaABAg,This Imam is awesome he nailed it.,5 years ago (edited),@Vogelstang18,UCAuOBO8EF5yBRisNe6lqF7A,913,5,https://yt3.ggpht.com/ytc/AIdro_kEfjZwcxPh7CYFswDfzmo0vTDF6arrNlM0_m3mTno=s88-c-k-c0x00ffffff-no-rj,False,1614500752.578646,https://www.youtube.com/watch?v=INIG636SnU4
Ugy_Ur655LTQ52ajtQJ4AaABAg,The guy in the middle has some serious knowledge,7 years ago,@savvyaccounts5013,UCVF7taltCqhauQ9zQ0y6LPQ,16K,117,https://yt3.ggpht.com/ytc/AIdro_nXhlvchEg3I2fK8PfxglUD1oO1ty4lSsjykp7je3stQ9c=s88-c-k-c0x00ffffff-no-rj,False,1551342352.580955,https://www.youtube.com/watch?v=INIG636SnU4
